,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 10:00:00,0.0,0.0,0.0,0.24,0.0,0.35107199999999994,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,0.0,0.23399999999999999,0.0,0.39744,0.0,0.10494,0.00024,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,0.0,0.24,0.0,0.34776,0.0,0.0,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,0.0,0.195,0.0,0.40571999999999997,0.0,0.0,0.00024,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,0.0,0.9799919999999999,0.0,0.39412800000000003,0.0,0.0,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,0.0,0.9219120000000001,0.0,0.327888,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:00:00,0.0,0.0,0.0,0.68916,0.0,0.44712,0.0,0.0,0.0,0.0,0.0
2017-02-26 13:30:00,0.0,0.0,0.0,0.6382799999999998,0.0,0.36432,0.0,0.0,0.00024,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0,0.6396719999999998,0.0,0.369288,0.0,0.0,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0,0.48684000000000005,0.0,0.48684000000000005,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:00:00,0.0,0.0,0.0,0.5980799999999997,0.0,0.4636800000000001,0.0,0.0,0.0,0.0,0.0
2017-02-26 15:30:00,0.0,0.0,0.0,0.6465120000000001,0.0,0.327888,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:00:00,0.0,0.0,0.0,0.614352,0.0,0.418968,0.0,0.0,0.0,0.0,0.0
2017-02-26 16:30:00,0.0,0.0,0.0,0.5002919999999998,0.0,0.418968,0.0,0.11130000000000001,0.0,0.0,0.0
2017-02-26 17:00:00,0.0,0.0,0.0,0.162,0.0,0.46864800000000006,0.0,0.23213999999999999,0.0,0.0,0.0
