timestamp,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11
26/02/2017 3:30,0.265,0.051,5.58,0.096,0.556,0.23,0.147,0.145,0,0.08,0.121
26/02/2017 4:00,0.158,0.016,7.392,0.095,0.681,0.205,0.132,0.255,0,0.035,0.101
26/02/2017 4:30,0.168,0.035,6.96,0.061,0.713,0.31,0.153,0.159,0,0.094,0.089
26/02/2017 5:00,0.168,0.043,6.292,0.091,0.684,0.218,0.137,0.537,0,0.253,0.077
26/02/2017 5:30,0.17,0.011,7.18,0.065,0.683,0.273,0.159,0.304,0,0.127,0.081
26/02/2017 6:00,0.433,0.043,5.78,0.081,0.704,0.2,0.125,1.351,0.001,0.035,0.082
26/02/2017 6:30,0.155,0.035,6.62,0.084,0.708,0.265,0.037,0.005,0,0.038,0.074
26/02/2017 7:00,0.158,0.013,6.052,0.086,0.707,0.205,0,0,0,0.041,0.119
26/02/2017 7:30,0.165,0.047,5.66,0.101,0.71,0.558,0,0,0,0.035,0.098
26/02/2017 8:00,0.165,0.029,7.652,0.08,0.711,0.22,0,0,0,0.187,0.102
26/02/2017 8:30,0.17,0.019,7.06,0.105,0.71,0.228,0,0,0,0.043,0.073
26/02/2017 9:00,0.165,0.048,7.92,0.08,0.708,0.21,0,0,0.001,0.036,0.088
26/02/2017 9:30,0.16,0.022,6.372,0.102,0.546,0.25,0,0,0,0.036,0.079
26/02/2017 10:00,0.158,0.029,7.412,0.08,1.202,0.212,0,0,0,0.039,0.081
26/02/2017 10:30,0.165,0.05,7.38,0.078,1.01,0.24,0,0.033,0.001,0.041,0.109
26/02/2017 11:00,0.17,0.064,9.32,0.08,0.999,0.21,0,0,0,0.035,0.106
26/02/2017 11:30,0.168,0.072,9.3,0.065,0.995,0.245,0,0,0.001,0.038,0.116
26/02/2017 12:00,0.173,0.066,10.12,0.531,0.974,0.238,0,0,0,0.043,0.075
26/02/2017 12:30,0.163,0.013,9.14,0.9,0.974,0.198,0,0,0,0.035,0.09
26/02/2017 13:00,0.43,0.062,7.88,0.939,0.989,0.27,0,0,0,0.038,0.07
26/02/2017 13:30,0.163,0.02,7.032,0.894,1.007,0.22,0,0,0.001,0.043,0.092
26/02/2017 14:00,0.173,0.044,7.02,0.903,1.05,0.223,0,0,0,0.036,0.085
26/02/2017 14:30,0.175,0.038,6.76,0.903,0.978,0.5,0,0,0,0.038,0.125
26/02/2017 15:00,0.173,0.026,7.52,0.894,0.983,0.28,0,0,0,0.043,0.103
26/02/2017 15:30,0.165,0.055,6.772,0.918,0.984,0.198,0,0,0,0.036,0.108
26/02/2017 16:00,0.163,0.014,7.332,0.876,0.987,0.253,0,0,0,0.038,0.077
26/02/2017 16:30,0.163,0.055,7.24,0.258,1.004,0.253,0,0.035,0,0.043,0.083
26/02/2017 17:00,0.168,0.027,7.66,0.054,0.968,0.283,0,0.073,0,0.036,0.082
26/02/2017 17:30,0.175,0.035,7.98,0.096,0.953,0.27,0.014,0.206,0,0.038,0.078
26/02/2017 18:00,0.17,0.047,7.248,0.091,0.951,0.2,0.032,0.369,0,0.043,0.114
26/02/2017 18:30,0.21,0.013,7.38,0.086,0.928,0.253,0.148,0.897,0,0.036,0.108
26/02/2017 19:00,0.268,0.058,6.48,0.054,0.783,0.233,0.159,0.371,0,0.038,0.126
26/02/2017 19:30,0.268,0.024,7.1,0.068,0.55,0.233,0.143,0.241,0,0.042,0.084
26/02/2017 20:00,0.54,0.034,8.36,0.068,0.553,0.205,0.158,0.239,0,0.036,0.092
26/02/2017 20:30,0.273,0.047,7.76,0.051,0.896,0.278,0.137,0.261,0,0.038,0.075
26/02/2017 21:00,0.273,0.013,6.172,0.076,0.535,0.18,0.159,0.224,0,0.042,0.083
26/02/2017 21:30,0.275,0.05,6.34,0.045,0.56,0.568,0.239,0.819,0,0.036,0.082
26/02/2017 22:00,0.275,0.03,6.492,0.072,0.567,0.212,0.186,0.248,0.001,0.036,0.104
26/02/2017 22:30,0.263,0.023,6.14,0.059,0.567,0.297,0.183,0.23,0,0.043,0.12
26/02/2017 23:00,0.263,0.053,7.552,0.057,0.57,0.233,0.135,0.287,0,0.035,0.092
26/02/2017 23:30,0.265,0.016,8.052,0.073,0.563,0.225,0.153,0.173,0,0.036,0.089
27/02/2017 0:00,0.278,0.035,7.58,0.047,0.54,0.273,0.165,0.167,0,0.044,0.076
27/02/2017 0:30,0.27,0.045,7.532,0.076,0.532,0.203,0.155,0.158,0,0.036,0.081
27/02/2017 1:00,0.273,0.011,8.212,0.05,0.531,0.26,0.138,0.167,0,0.035,0.084
27/02/2017 1:30,0.26,0.064,6.572,0.069,0.544,0.19,0.138,0.168,0,0.04,0.088
27/02/2017 2:00,0.255,0.072,5.26,0.059,0.672,0.283,0.147,0.145,0.001,0.259,0.118
27/02/2017 2:30,0.527,0.059,6.432,0.061,0.687,0.163,0.144,0.161,0,0.088,0.1
27/02/2017 3:00,0.265,0.021,6.212,0.069,0.702,0.185,0.156,0.174,0,0.036,0.091
27/02/2017 3:30,0.263,0.04,5.632,0.048,0.683,0.17,0.132,0.143,0,0.121,0.079
27/02/2017 4:00,0.168,0.04,6.48,0.075,0.705,0.195,0.144,0.167,0,0.035,0.077
27/02/2017 4:30,0.16,0.015,5.56,0.045,0.741,0.155,0.137,0.161,0,0.049,0.087
27/02/2017 5:00,0.153,0.051,8.3,0.072,0.713,0.188,0.132,0.158,0,0.127,0.07
27/02/2017 5:30,0.158,0.024,10.78,0.054,0.699,0.173,0.168,0.164,0,0.04,0.113
27/02/2017 6:00,0.165,0.027,9.44,0.063,0.689,0.443,0.132,0.148,0,0.034,0.102
27/02/2017 6:30,0.165,0.049,10.96,0.063,0.698,0.848,0.134,0.153,0,0.035,0.099
27/02/2017 7:00,1.648,0.012,11.512,0.424,1.466,1.4,0.03,0.555,0,0.04,0.079
27/02/2017 7:30,3.933,0.036,17.5,1.091,1.92,0.995,0.189,0.95,0,0.038,0.075
27/02/2017 8:00,7.163,0.042,16.4,1.067,2.093,0.948,0.392,0.456,0,0.035,0.085
27/02/2017 8:30,6.465,0.01,17.592,1.142,2.186,1.153,0.38,0.762,0.633,0.614,0.282
27/02/2017 9:00,6.535,0.042,13.16,1.152,2.151,0.895,0.198,0.269,1.272,0.697,0.678
27/02/2017 9:30,7.57,0.036,18.048,1.154,2.597,0.98,0.021,0.155,1.273,0.738,0.659
27/02/2017 10:00,10.445,0.011,14.872,1.14,2.264,0.828,0.044,1.086,1.275,0.736,0.678
27/02/2017 10:30,11.53,0.046,12.98,1.146,2.24,0.927,0.105,0.096,1.279,0.737,0.606
27/02/2017 11:00,5.055,0.031,14.152,1.35,2.9,0.768,0,0.03,1.282,0.852,0.649
27/02/2017 11:30,11.945,0.016,15.152,1.191,2.398,0.89,0.095,0.211,1.266,0.767,0.77
27/02/2017 12:00,10.188,0.046,16.04,1.38,2.076,0.802,0.315,0.621,1.27,0.775,0.642
27/02/2017 12:30,7.02,0.026,14.592,1.182,2.091,1.145,0.324,0.931,1.275,0.777,0.644
27/02/2017 13:00,7.06,0.021,14.052,1.214,2.861,0.9,0.248,0.978,1.272,0.78,0.707
